File Name,Average Response Time,Request Type,Frequency,Size,Power
order_high_large_rest1,26.62036515,0,2,2,17.9
order_high_large_rest10,19.3359526,0,2,2,17.7
order_high_large_rest2,22.05445339,0,2,2,17.3
order_high_large_rest3,23.32541779,0,2,2,17.7
order_high_large_rest4,22.60230286,0,2,2,17.7
order_high_large_rest5,20.94523272,0,2,2,17.2
order_high_large_rest6,19.83061578,0,2,2,18.4
order_high_large_rest7,20.44559433,0,2,2,17.7
order_high_large_rest8,21.96693292,0,2,2,17.9
order_high_large_rest9,21.1015967,0,2,2,18
order_high_medium_rest1,19.14642343,0,2,1,18.5
order_high_medium_rest10,14.27270639,0,2,1,18.1
order_high_medium_rest2,15.76971375,0,2,1,17.4
order_high_medium_rest3,17.91513858,0,2,1,16.9
order_high_medium_rest4,15.66542193,0,2,1,17
order_high_medium_rest5,16.05697959,0,2,1,17.3
order_high_medium_rest6,14.64092962,0,2,1,17.7
order_high_medium_rest7,15.70665758,0,2,1,17.8
order_high_medium_rest8,15.42269453,0,2,1,18
order_high_medium_rest9,15.12699456,0,2,1,18
order_high_small_rest1,20.03250162,0,2,0,18.7
order_high_small_rest10,15.37303985,0,2,0,17.9
order_high_small_rest2,16.58309205,0,2,0,18.3
order_high_small_rest3,16.11620525,0,2,0,17.1
order_high_small_rest4,16.1678704,0,2,0,17.2
order_high_small_rest5,13.93941185,0,2,0,17.8
order_high_small_rest6,14.3410519,0,2,0,17.7
order_high_small_rest7,15.45586751,0,2,0,17.6
order_high_small_rest8,14.95437653,0,2,0,17.7
order_high_small_rest9,15.32604524,0,2,0,17.8
order_low_large_rest1,41.43245274,0,0,2,16.2
order_low_large_rest10,31.80807848,0,0,2,15.7
order_low_large_rest2,28.84185669,0,0,2,15.9
order_low_large_rest3,25.09705286,0,0,2,15.5
order_low_large_rest4,33.22319951,0,0,2,15.5
order_low_large_rest5,21.38360855,0,0,2,15.6
order_low_large_rest6,23.98292888,0,0,2,15.7
order_low_large_rest7,28.03586655,0,0,2,15.7
order_low_large_rest8,31.88714226,0,0,2,15.7
order_low_large_rest9,30.15174309,0,0,2,15.7
order_low_medium_rest1,19.25389455,0,0,1,15.7
order_low_medium_rest10,24.90545774,0,0,1,15.7
order_low_medium_rest2,27.1284791,0,0,1,15.8
order_low_medium_rest3,17.71212283,0,0,1,15.7
order_low_medium_rest4,27.02238024,0,0,1,15.9
order_low_medium_rest5,24.06730314,0,0,1,15.7
order_low_medium_rest6,24.83119084,0,0,1,15.7
order_low_medium_rest7,29.03019112,0,0,1,15.5
order_low_medium_rest8,25.50436519,0,0,1,15.5
order_low_medium_rest9,19.20469182,0,0,1,15.6
order_low_small_rest1,29.7910065,0,0,0,16.2
order_low_small_rest10,25.50267515,0,0,0,15.8
order_low_small_rest2,29.63097106,0,0,0,15.8
order_low_small_rest3,27.75921557,0,0,0,15.7
order_low_small_rest4,23.54602164,0,0,0,15.6
order_low_small_rest5,20.64037665,0,0,0,15.5
order_low_small_rest6,21.80793012,0,0,0,15.7
order_low_small_rest7,25.41006291,0,0,0,15.5
order_low_small_rest8,21.31353731,0,0,0,15.8
order_low_small_rest9,25.16996655,0,0,0,15.8
order_medium_large_rest1,22.8378275,0,1,2,16.3
order_medium_large_rest10,19.78186702,0,1,2,16.6
order_medium_large_rest2,18.95913784,0,1,2,16.4
order_medium_large_rest3,21.41526283,0,1,2,16.5
order_medium_large_rest4,22.9901223,0,1,2,16.5
order_medium_large_rest5,23.10053938,0,1,2,16.1
order_medium_large_rest6,18.98839824,0,1,2,16.4
order_medium_large_rest7,20.7602566,0,1,2,16.7
order_medium_large_rest8,19.79840475,0,1,2,16.7
order_medium_large_rest9,21.7208043,0,1,2,16.6
order_medium_medium_rest1,16.7398725,0,1,1,16.5
order_medium_medium_rest10,16.2553083,0,1,1,16.4
order_medium_medium_rest2,14.97244137,0,1,1,16.3
order_medium_medium_rest3,16.54865048,0,1,1,16.1
order_medium_medium_rest4,13.88645416,0,1,1,16.3
order_medium_medium_rest5,15.55587573,0,1,1,16.7
order_medium_medium_rest6,15.52004296,0,1,1,16.5
order_medium_medium_rest7,16.29876451,0,1,1,16.5
order_medium_medium_rest8,16.93950893,0,1,1,16.4
order_medium_medium_rest9,15.96801199,0,1,1,16.8
order_medium_small_rest1,24.44010425,0,1,0,16.9
order_medium_small_rest10,16.79378754,0,1,0,16.9
order_medium_small_rest2,13.92853071,0,1,0,16.4
order_medium_small_rest3,17.6026291,0,1,0,16.1
order_medium_small_rest4,16.22208618,0,1,0,16.3
order_medium_small_rest5,14.18440365,0,1,0,16.7
order_medium_small_rest6,14.76604511,0,1,0,16.6
order_medium_small_rest7,15.47158158,0,1,0,16.9
order_medium_small_rest8,17.38595529,0,1,0,16.6
order_medium_small_rest9,17.59561165,0,1,0,16.9
