Category,Average Response Time,Request Type,Frequency,Size,Power
Avegare,9.498249056677905,1,1.0,1.0,16.969222222222225
order_high_large,9.76467940043949,1,2.0,2.0,18.69
order_high_medium,6.6667559081397485,1,2.0,1.0,18.36
order_high_small,6.809897292710957,1,2.0,0.0,18.35
order_low_large,11.350234707788331,1,0.0,2.0,15.930000000000001
order_low_medium,8.887971023796126,1,0.0,1.0,15.9
order_low_small,18.737361130479258,1,0.0,0.0,15.86
order_medium_large,9.054281319113215,1,1.0,2.0,16.89
order_medium_medium,6.536567183065927,1,1.0,1.0,15.863
order_medium_small,7.676493544568075,1,1.0,0.0,16.880000000000003
idle,0,1,-1,-1,
